LipidIon,Class,FattyAcid,Ion,Formula,ObsMz,Rt,Pol.,z,ObsMass,CalcMz,Grade
PC(20:1/15:0)+H,PC,(20:1/15:0),M+H,C43 H85 O8 N1 P1,774.600323,25.733137,P,1,774.6008715,774.6007335,B
PG(18:1/18:1)+H,PG,(18:1/18:1),M+H,C42 H80 O10 N0 P1,775.547709,19.377807,P,1,775.5482575,775.5483645,B
SM(d18:0/18:1)+HCOO,SM,(d18:0/18:1),M+HCOO,C42 H84 O8 N2 P1,775.598169,21.514335,N,1,775.5976205,775.5970795,B
PE(18:1p/22:5)+H,PE,(18:1p/22:5),M+H,C45 H79 O7 N1 P1,776.55785,21.023002,P,1,776.5583985,776.5588685,B
ChE(26:3)+NH4,ChE,(26:3),M+NH4,C53 H94 O2 N1,776.726472,30.401507,P,1,776.7270205,776.7279055,B
ChE(26:2)+NH4,ChE,(26:2),M+NH4,C53 H96 O2 N1,778.742084,30.939617,P,1,778.7426325,778.7435555,B
PE(18:1p/22:3)+H,PE,(18:1p/22:3),M+H,C45 H83 O7 N1 P1,780.588402,23.167676,P,1,780.5889505,780.5901685,B
PE(18:0p/22:4)+H,PE,(18:0p/22:4),M+H,C45 H83 O7 N1 P1,780.588481,23.695028,P,1,780.5890295,780.5901685,B
TG(16:0p/14:0/16:0)+NH4,TG,(16:0p/14:0/16:0),M+NH4,C49 H98 O5 N1,780.742897,28.979258,P,1,780.7434455,780.7439505,B
ChE(26:1)+NH4,ChE,(26:1),M+NH4,C53 H98 O2 N1,780.757589,31.469645,P,1,780.7581375,780.7592055,B
PS(16:0/20:4)-H,PS,(16:0/20:4),M-H,C42 H73 O10 N1 P1,782.499244,18.758776,N,1,782.4986955,782.4977605,B
PC(18:4/18:0)+H,PC,(18:4/18:0),M+H,C44 H81 O8 N1 P1,782.565108,21.885834,P,1,782.5656565,782.5694335,B
PE(18:0p/22:3)+H,PE,(18:0p/22:3),M+H,C45 H85 O7 N1 P1,782.605043,24.764608,P,1,782.6055915,782.6058185,B
TG(14:0e/16:0/16:0)+NH4,TG,(14:0e/16:0/16:0),M+NH4,C49 H100 O5 N1,782.757391,29.433325,P,1,782.7579395,782.7596005,B
PS(18:1/18:2)-H,PS,(18:1/18:2),M-H,C42 H75 O10 N1 P1,784.513661,19.191474,N,1,784.5131125,784.5134105,B
PS(16:0/20:3)-H,PS,(16:0/20:3),M-H,C42 H75 O10 N1 P1,784.513733,19.737468,N,1,784.5131845,784.5134105,B
PE(18:1p/22:1)+H,PE,(18:1p/22:1),M+H,C45 H87 O7 N1 P1,784.621068,26.322694,P,1,784.6216165,784.6214685,B
PE(18:0p/22:1)+H,PE,(18:0p/22:1),M+H,C45 H89 O7 N1 P1,786.635771,27.417986,P,1,786.6363195,786.6371185,B
PC(16:1/16:1)+CH3COO,PC,(16:1/16:1),M+CH3COO,C42 H79 O10 N1 P1,788.544504,15.775928,N,1,788.5439555,788.5447105,B
PS(18:0/18:1)-H,PS,(18:0/18:1),M-H,C42 H79 O10 N1 P1,788.545301,22.43073,N,1,788.5447525,788.5447105,B
PS(20:0/16:1)+H,PS,(20:0/16:1),M+H,C42 H81 O10 N1 P1,790.558227,27.944518,P,1,790.5587755,790.5592635,B
PG(18:1/18:2)+NH4,PG,(18:1/18:2),M+NH4,C42 H81 O10 N1 P1,790.561613,18.737915,P,1,790.5621615,790.5592635,B
PG(16:1/22:6)-H,PG,(16:1/22:6),M-H,C44 H72 O10 N0 P1,791.487945,16.308866,N,1,791.4873965,791.4868615,B
PG(18:1/18:1)+NH4,PG,(18:1/18:1),M+NH4,C42 H83 O10 N1 P1,792.573352,19.238762,P,1,792.5739005,792.5749135,B
PC(18:0e/16:0)+HCOO,PC,(18:0e/16:0),M+HCOO,C43 H87 O9 N1 P1,792.614423,24.623522,N,1,792.6138745,792.6123955,B
PG(18:1/20:4)-H,PG,(18:1/20:4),M-H,C44 H76 O10 N0 P1,795.518954,17.98154,N,1,795.5184055,795.5181615,B
PG(18:1/20:3)-H,PG,(18:1/20:3),M-H,C44 H78 O10 N0 P1,797.534582,19.143076,N,1,797.5340335,797.5338115,B
PS(17:0/20:3)-H,PS,(17:0/20:3),M-H,C43 H77 O10 N1 P1,798.528437,20.881508,N,1,798.5278885,798.5290605,B
PG(18:1/20:2)-H,PG,(18:1/20:2),M-H,C44 H80 O10 N0 P1,799.549755,19.827187,N,1,799.5492065,799.5494615,B
PC(18:1/19:0)+H,PC,(18:1/19:0),M+H,C45 H89 O8 N1 P1,802.628581,23.130657,P,1,802.6291295,802.6320335,B
SM(d20:0/18:1)+HCOO,SM,(d20:0/18:1),M+HCOO,C44 H88 O8 N2 P1,803.629431,23.271686,N,1,803.6288825,803.6283795,B
PEt(26:5/16:0)-H,PEt,(26:5/16:0),M-H,C47 H82 O8 N0 P1,805.570378,19.945668,N,1,805.5698295,805.5752815,B
PS(16:0/22:6)-H,PS,(16:0/22:6),M-H,C44 H73 O10 N1 P1,806.498244,18.28949,N,1,806.4976955,806.4977605,B
TG(20:1p/14:0/14:0)+NH4,TG,(20:1p/14:0/14:0),M+NH4,C51 H100 O5 N1,806.758939,28.930677,P,1,806.7594875,806.7596005,B
PS(16:0/22:5)-H,PS,(16:0/22:5),M-H,C44 H75 O10 N1 P1,808.514024,18.819303,N,1,808.5134755,808.5134105,B
TG(18:0p/14:0/16:0)+NH4,TG,(18:0p/14:0/16:0),M+NH4,C51 H102 O5 N1,808.774042,29.267939,P,1,808.7745905,808.7752505,B
PS(18:1/20:3)-H,PS,(18:1/20:3),M-H,C44 H77 O10 N1 P1,810.527654,19.910929,N,1,810.5271055,810.5290605,B
PG(16:1/22:6)+NH4,PG,(16:1/22:6),M+NH4,C44 H77 O10 N1 P1,810.526661,15.904056,P,1,810.5272095,810.5279635,B
PS(18:0/20:4)-H,PS,(18:0/20:4),M-H,C44 H77 O10 N1 P1,810.530984,20.486189,N,1,810.5304355,810.5290605,B
TG(16:0e/16:0/16:0)+NH4,TG,(16:0e/16:0/16:0),M+NH4,C51 H104 O5 N1,810.789516,30.371048,P,1,810.7900645,810.7909005,B
PG(16:0/22:6)+NH4,PG,(16:0/22:6),M+NH4,C44 H79 O10 N1 P1,812.544027,17.489902,P,1,812.5445755,812.5436135,B
PG(16:1/22:5)+NH4,PG,(16:1/22:5),M+NH4,C44 H79 O10 N1 P1,812.544028,16.964117,P,1,812.5445765,812.5436135,B
PS(18:0/20:3)-H,PS,(18:0/20:3),M-H,C44 H79 O10 N1 P1,812.54626,21.570717,N,1,812.5457115,812.5447105,B
PC(18:0/20:3)+H,PC,(18:0/20:3),M+H,C46 H87 O8 N1 P1,812.61492,21.8383,P,1,812.6154685,812.6163835,B
PS(20:1/18:1)-H,PS,(20:1/18:1),M-H,C44 H81 O10 N1 P1,814.561822,23.183888,N,1,814.5612735,814.5603605,B
PS(18:0/20:2)-H,PS,(18:0/20:2),M-H,C44 H81 O10 N1 P1,814.561822,23.18844,N,1,814.5612735,814.5603605,B
PG(18:1/20:3)+NH4,PG,(18:1/20:3),M+NH4,C44 H83 O10 N1 P1,816.575266,19.126674,P,1,816.5758145,816.5749135,B
PS(20:0/18:1)-H,PS,(20:0/18:1),M-H,C44 H83 O10 N1 P1,816.577144,25.502648,N,1,816.5765955,816.5760105,B
PC(18:0p/18:1)+HCOO,PC,(18:0p/18:1),M+HCOO,C45 H87 O9 N1 P1,816.612532,22.634721,N,1,816.6119835,816.6123955,B
PG(18:2/22:6)-H,PG,(18:2/22:6),M-H,C46 H74 O10 N0 P1,817.503367,16.947804,N,1,817.5028185,817.5025115,B
PC(18:0e/18:1)+HCOO,PC,(18:0e/18:1),M+HCOO,C45 H89 O9 N1 P1,818.628614,24.919391,N,1,818.6280655,818.6280455,B
PG(18:1/22:6)-H,PG,(18:1/22:6),M-H,C46 H76 O10 N0 P1,819.518945,17.508631,N,1,819.5183965,819.5181615,B
PG(18:1/22:6)+H,PG,(18:1/22:6),M+H,C46 H78 O10 N0 P1,821.528553,17.751542,P,1,821.5291015,821.5327145,B
PG(18:1/22:5)-H,PG,(18:1/22:5),M-H,C46 H78 O10 N0 P1,821.533808,18.579326,N,1,821.5332595,821.5338115,B
PS(18:0/21:3)-H,PS,(18:0/21:3),M-H,C45 H81 O10 N1 P1,826.562141,22.608992,N,1,826.5615925,826.5603605,B
SM(d18:1/25:1)+H,SM,(d18:1/25:1),M+H,C48 H96 O6 N2 P1,827.698693,26.230302,P,1,827.6992415,827.7000525,B
SM(d22:1/18:1)+HCOO,SM,(d22:1/18:1),M+HCOO,C46 H90 O8 N2 P1,829.644776,23.442339,N,1,829.6442275,829.6440295,B
SM(d22:0/18:1)+HCOO,SM,(d22:0/18:1),M+HCOO,C46 H92 O8 N2 P1,831.660512,25.009335,N,1,831.6599635,831.6596795,B
SM(d22:1/18:0)+HCOO,SM,(d22:1/18:0),M+HCOO,C46 H92 O8 N2 P1,831.660712,25.069275,N,1,831.6601635,831.6596795,B
PS(18:1/22:6)-H,PS,(18:1/22:6),M-H,C46 H75 O10 N1 P1,832.513095,18.222096,N,1,832.5125465,832.5134105,B
SM(d22:0/18:0)+HCOO,SM,(d22:0/18:0),M+HCOO,C46 H94 O8 N2 P1,833.670338,25.933279,N,1,833.6697895,833.6753295,B
PS(18:0/22:6)-H,PS,(18:0/22:6),M-H,C46 H77 O10 N1 P1,834.529904,20.360991,N,1,834.5293555,834.5290605,B
TG(14:0e/18:1/18:1)+NH4,TG,(14:0e/18:1/18:1),M+NH4,C53 H104 O5 N1,834.788967,29.219431,P,1,834.7895155,834.7909005,B
SM(d18:1/26:4)+H,SM,(d18:1/26:4),M+H,C49 H92 O6 N2 P1,835.664569,25.521179,P,1,835.6651175,835.6687525,B
PS(18:0/22:5)-H,PS,(18:0/22:5),M-H,C46 H79 O10 N1 P1,836.544186,20.911714,N,1,836.5436375,836.5447105,B
TG(16:0e/16:0/18:1)+NH4,TG,(16:0e/16:0/18:1),M+NH4,C53 H106 O5 N1,836.804409,29.620996,P,1,836.8049575,836.8065505,B
SM(d18:1/26:3)+H,SM,(d18:1/26:3),M+H,C49 H94 O6 N2 P1,837.680356,26.486325,P,1,837.6809045,837.6844025,B
PG(18:1/22:6)+NH4,PG,(18:1/22:6),M+NH4,C46 H81 O10 N1 P1,838.557976,17.795438,P,1,838.5585245,838.5592635,B
PS(18:0/22:4)-H,PS,(18:0/22:4),M-H,C46 H81 O10 N1 P1,838.560546,22.004048,N,1,838.5599975,838.5603605,B
PC(18:0/22:4)+H,PC,(18:0/22:4),M+H,C48 H89 O8 N1 P1,838.630261,22.59728,P,1,838.6308095,838.6320335,B
PG(18:1/22:5)+NH4,PG,(18:1/22:5),M+NH4,C46 H83 O10 N1 P1,840.57369,18.377532,P,1,840.5742385,840.5749135,B
PS(18:0/22:3)-H,PS,(18:0/22:3),M-H,C46 H83 O10 N1 P1,840.57641,23.14238,N,1,840.5758615,840.5760105,B
PC(18:0/22:3)+H,PC,(18:0/22:3),M+H,C48 H91 O8 N1 P1,840.645287,23.123797,P,1,840.6458355,840.6476835,B
SM(d17:1/24:1)+HCOO,SM,(d17:1/24:1),M+HCOO,C47 H92 O8 N2 P1,843.660649,24.73476,N,1,843.6601005,843.6596795,B
SM(d17:1/24:0)+HCOO,SM,(d17:1/24:0),M+HCOO,C47 H94 O8 N2 P1,845.675131,25.758483,N,1,845.6745825,845.6753295,B
PC(16:0e/22:1)+HCOO,PC,(16:0e/22:1),M+HCOO,C47 H93 O9 N1 P1,846.658001,26.781386,N,1,846.6574525,846.6593455,B
SM(d22:0/20:3)+HCOO,SM,(d22:0/20:3),M+HCOO,C48 H92 O8 N2 P1,855.660162,23.938745,N,1,855.6596135,855.6596795,B
TG(16:0e/14:0/22:5)+NH4,TG,(16:0e/14:0/22:5),M+NH4,C55 H102 O5 N1,856.772155,28.942043,P,1,856.7727035,856.7752505,B
TG(15:1/18:1/18:2)+NH4,TG,(15:1/18:1/18:2),M+NH4,C54 H100 O6 N1,858.753495,28.504683,P,1,858.7540435,858.7545155,B
TG(16:0p/18:1/18:1)+NH4,TG,(16:0p/18:1/18:1),M+NH4,C55 H106 O5 N1,860.804651,29.347064,P,1,860.8051995,860.8065505,B
TG(18:0p/16:1/18:1)+NH4,TG,(18:0p/16:1/18:1),M+NH4,C55 H106 O5 N1,860.805054,30.111385,P,1,860.8056025,860.8065505,B
PA(26:2/22:3)-H,PA,(26:2/22:3),M-H,C51 H90 O8 N0 P1,861.643544,24.706764,N,1,861.6429955,861.6378815,B
TG(16:0e/18:1/18:1)+NH4,TG,(16:0e/18:1/18:1),M+NH4,C55 H108 O5 N1,862.819822,29.800704,P,1,862.8203705,862.8222005,B
TG(18:0p/16:0/18:1)+NH4,TG,(18:0p/16:0/18:1),M+NH4,C55 H108 O5 N1,862.820888,30.445388,P,1,862.8214365,862.8222005,B
PS(24:5/18:0)-H,PS,(24:5/18:0),M-H,C48 H83 O10 N1 P1,864.575119,24.003137,N,1,864.5745705,864.5760105,B
PG(20:2/22:6)+NH4,PG,(20:2/22:6),M+NH4,C48 H83 O10 N1 P1,864.574199,17.714323,P,1,864.5747475,864.5749135,B
TG(18:0e/16:0/18:1)+NH4,TG,(18:0e/16:0/18:1),M+NH4,C55 H110 O5 N1,864.83673,30.967782,P,1,864.8372785,864.8378505,B
PG(22:6/22:6)-H,PG,(22:6/22:6),M-H,C50 H74 O10 N0 P1,865.503803,15.463426,N,1,865.5032545,865.5025115,B
TG(20:0e/16:0/16:0)+NH4,TG,(20:0e/16:0/16:0),M+NH4,C55 H112 O5 N1,866.851361,31.541792,P,1,866.8519095,866.8535005,B
PG(22:5/22:6)-H,PG,(22:5/22:6),M-H,C50 H76 O10 N0 P1,867.517501,16.048043,N,1,867.5169525,867.5181615,B
PS(24:3/18:0)-H,PS,(24:3/18:0),M-H,C48 H87 O10 N1 P1,868.610187,24.148437,N,1,868.6096385,868.6073105,B
PC(16:0e/24:2)+HCOO,PC,(16:0e/24:2),M+HCOO,C49 H95 O9 N1 P1,872.673367,26.414734,N,1,872.6728185,872.6749955,B
PI(16:1/20:4)+NH4,PI,(16:1/20:4),M+NH4,C45 H81 O13 N1 P1,874.541956,17.543054,P,1,874.5425045,874.5440085,B
PC(16:0e/24:1)+HCOO,PC,(16:0e/24:1),M+HCOO,C49 H97 O9 N1 P1,874.685431,27.565397,N,1,874.6848825,874.6906455,B
PI(16:0/20:4)+NH4,PI,(16:0/20:4),M+NH4,C45 H83 O13 N1 P1,876.558845,18.805247,P,1,876.5593935,876.5596585,B
PC(24:6/20:4)+H,PC,(24:6/20:4),M+H,C52 H85 O8 N1 P1,882.599664,18.567507,P,1,882.6002125,882.6007335,B
SM(d22:0/22:3)+HCOO,SM,(d22:0/22:3),M+HCOO,C50 H96 O8 N2 P1,883.692614,24.658325,N,1,883.6920655,883.6909795,B
PG(22:6/22:6)+NH4,PG,(22:6/22:6),M+NH4,C50 H79 O10 N1 P1,884.543608,16.024874,P,1,884.5441565,884.5436135,B
SM(d20:1/24:1)+HCOO,SM,(d20:1/24:1),M+HCOO,C50 H98 O8 N2 P1,885.707747,26.142973,N,1,885.7071985,885.7066295,B
PG(22:5/22:6)+NH4,PG,(22:5/22:6),M+NH4,C50 H81 O10 N1 P1,886.557384,16.654871,P,1,886.5579325,886.5592635,B
PI(18:0/20:4)+H,PI,(18:0/20:4),M+H,C47 H84 O13 N0 P1,887.565241,20.276479,P,1,887.5657895,887.5644095,B
TG(20:1p/16:0/18:1)+NH4,TG,(20:1p/16:0/18:1),M+NH4,C57 H110 O5 N1,888.835236,29.523544,P,1,888.8357845,888.8378505,B
PC(26:6/18:0)+H,PC,(26:6/18:0),M+H,C52 H93 O8 N1 P1,890.661825,22.520946,P,1,890.6623735,890.6633335,B
TG(20:0p/16:0/18:1)+NH4,TG,(20:0p/16:0/18:1),M+NH4,C57 H112 O5 N1,890.849736,29.838025,P,1,890.8502845,890.8535005,B
TG(18:0e/18:1/18:1)+NH4,TG,(18:0e/18:1/18:1),M+NH4,C57 H112 O5 N1,890.851629,30.357436,P,1,890.8521775,890.8535005,B
TG(16:0e/18:1/22:4)+NH4,TG,(16:0e/18:1/22:4),M+NH4,C59 H110 O5 N1,912.83557,30.160052,P,1,912.8361185,912.8378505,B
TG(18:0e/18:1/20:1)+NH4,TG,(18:0e/18:1/20:1),M+NH4,C59 H116 O5 N1,918.881864,30.109111,P,1,918.8824125,918.8848005,B
PI(18:1/22:6)+NH4,PI,(18:1/22:6),M+NH4,C49 H85 O13 N1 P1,926.57567,18.124734,P,1,926.5762185,926.5753085,B
PI(20:1/20:4)+NH4,PI,(20:1/20:4),M+NH4,C49 H89 O13 N1 P1,930.604994,20.27142,P,1,930.6055425,930.6066085,B
TG(18:0p/18:1/22:4)+NH4,TG,(18:0p/18:1/22:4),M+NH4,C61 H112 O5 N1,938.85072,29.730823,P,1,938.8512685,938.8535005,B
TG(10:0e/24:1/24:1)+NH4,TG,(10:0e/24:1/24:1),M+NH4,C61 H120 O5 N1,946.914499,30.932803,P,1,946.9150475,946.9161005,B
TG(20:0e/18:1/22:4)+NH4,TG,(20:0e/18:1/22:4),M+NH4,C63 H118 O5 N1,968.89804,30.11825,P,1,968.8985885,968.9004505,B
TG(28:0/18:1/18:1)+NH4,TG,(28:0/18:1/18:1),M+NH4,C67 H130 O6 N1,1044.984439,30.86508,P,1,1044.984988,1044.989265,B
TG(18:1/24:1/24:1)+NH4,TG,(18:1/24:1/24:1),M+NH4,C69 H132 O6 N1,1071.00245,30.976921,P,1,1071.002999,1071.004915,B
CL(16:1/16:1/16:1/16:1)-H,CL,(16:1/16:1/16:1/16:1),M-H,C73 H133 O17 P2,1343.903327,27.616399,N,1,1343.902778,1343.902355,B
CL(14:0/16:1/16:1/18:1)-H,CL,(14:0/16:1/16:1/18:1),M-H,C73 H135 O17 P2,1345.916321,28.173668,N,1,1345.915772,1345.918005,B
CL(18:2/16:1/16:1/16:1)-H,CL,(18:2/16:1/16:1/16:1),M-H,C75 H135 O17 P2,1369.920614,27.618724,N,1,1369.920065,1369.918005,B
